[2606:4700:57:4180:886d:7459:71c9:1dd]:8443#🇭🇰 香港ipv6-hk
[2606:4700:57:7f97:9a1a:9b1f:a316:5f6e]:2096#🇭🇰 香港ipv6-hk
[2606:4700:57:5d73:c8b7:f868:8cb6:8634]:2096#🇭🇰 香港ipv6-hk
[2606:4700:57:99bc:c774:75f7:c41f:1670]:2096#🇭🇰 香港ipv6-hk
[2606:4700:57:d262:2e1:b1a4:1207:de40]:2083#🇭🇰 香港ipv6-hk
[2606:4700:57:ac9b:1b2b:779e:f82b:ea7c]:2083#🇭🇰 香港ipv6-hk
[2606:4700:57:5f7c:1bb4:a266:d2e6:8493]:2083#🇭🇰 香港ipv6-hk
[2606:4700:57:e445:9a21:d88b:bf10:93f3]:2083#🇭🇰 香港ipv6-hk 
[2606:4700:57:b97a:52ea:3ee6:b514:9530]:2083#🇭🇰 香港ipv6-hk
[2606:4700:57:e3d7:968c:e67c:796e:97]:2083#🇭🇰 香港ipv6-hk
[2606:4700:57:2447:d467:4cb1:b707:8a97]:443#🇭🇰 香港ipv6-hk
[2606:4700:57:d7d4:8726:4697:3ec9:3d3]:2096#🇭🇰 香港ipv6-hk
[2606:4700:57:c3b5:be29:7619:c714:b3bf]:2053#🇭🇰 香港ipv6-hk
[2606:4700:57:38cf:78bf:f86:1914:b4e2]:2096#🇭🇰 香港ipv6-hk
[2606:4700:57:86ea:4103:70b6:3461:8c6d]:2096#🇭🇰 香港ipv6-hk
[2606:4700:57:f1b7:7dad:39f5:24ea:11f4]:2096#🇭🇰 香港ipv6-hk
[2606:4700:57:7186:d671:a4f8:4cc4:dadb]:2096#🇭🇰 香港ipv6-hk
[2606:4700:57:3402:3d83:1f92:f058:2d9c]:2096#🇭🇰 香港ipv6-hk
[2606:4700:57:5aff:eea3:a908:d5ed:3eba]:2096#🇭🇰 香港ipv6-hk 
[2606:4700:57:22d7:5301:bd5:86f6:fbce]:2096#🇭🇰 香港ipv6-hk
[2606:4700:57:1404:d650:4956:68db:7b79]:2096#🇭🇰 香港ipv6-hk 
[2606:4700:57:a56a:6009:a24a:147e:3d81]:2096#🇭🇰 香港ipv6-hk 
[2606:4700:57:9406:fe74:721:1276:fe3d]:2096#🇭🇰 香港ipv6-hk
[2606:4700:57:8348:be17:a761:1309:c8e6]:2096#🇭🇰 香港ipv6-hk 
[2606:4700:57:38a7:81a1:f39a:24c4:29e9]:2096#🇭🇰 香港ipv6-hk
[2606:4700:57:7690:3215:9fa5:1956:40ea]:2087#🇭🇰 香港ipv6-hk
[2606:4700:57:9d59:b5d7:31e5:c7e2:9464]:2087#🇭🇰 香港ipv6-hk 
[2606:4700:57:3ca3:692f:e81d:4df:505a]:2087#🇭🇰 香港ipv6-hk 
[2606:4700:57:86c9:7168:fad4:e0aa:c598]:2087#🇭🇰 香港ipv6-hk
[2606:4700:57:15ae:ad70:388d:ace5:8eea]:2087#🇭🇰 香港ipv6-hk
[2606:4700:57:7714:bc42:1158:556f:367f]:2087#🇭🇰 香港ipv6-hk 
[2606:4700:57:d625:7a1:e835:32ca:45b0]:2083#🇭🇰 香港ipv6-hk
[2606:4700:57:b467:88c3:2a06:1682:1f8f]:2083#🇭🇰 香港ipv6-hk
[2606:4700:57:7a6e:90b2:ba50:dae3:ba9e]:2053#🇭🇰 香港ipv6-hk 
[2606:4700:57:f650:8938:d5ed:4f8d:5ab3]:8443#🇭🇰 香港ipv6-hk
[2606:4700:57:def4:d09b:d31e:ad8:9787]:8443#🇭🇰 香港ipv6-hk 
103.21.244.188:2087#HK_75ms | 12.9 MB/s
103.21.244.181:2087#HK_73ms | 10.63 MB/s
198.41.209.217:2087#HK_68ms | 12.19 MB/s
198.41.209.61:2087#HK_71ms | 11.87 MB/s
198.41.208.35:2087#HK_80ms | 11.83 MB/s
198.41.208.8:2087#HK_76ms | 11.74 MB/s
198.41.209.199:2087#HK_68ms | 11.48 MB/s
198.41.208.119:2087#HK_73ms | 11.41 MB/s
103.21.244.97:2087#HK_72ms | 11.4 MB/s
198.41.208.200:2087#HK_66ms | 11.19 MB/s
198.41.209.65:2087#HK_71ms | 11.18 MB/s
198.41.209.62:2087#HK_70ms | 10.44 MB/s
198.41.209.120:2087#HK_76ms | 10.41 MB/s
198.41.208.103:2087#HK_67ms | 10.34 MB/s
198.41.208.67:2087#HK_70ms | 10.24 MB/s
198.41.208.207:2087#HK_81ms | 10.15 MB/s
198.41.209.48:2087#HK_80ms | 9.98 MB/s
198.41.209.16:2087#HK_70ms | 9.87 MB/s
198.41.208.155:2087#HK_74ms | 9.87 MB/s
198.41.208.57:2087#HK_64ms | 9.81 MB/s
198.41.209.89:2087#HK_81ms | 9.55 MB/s
172.64.154.192:2087#US-W_72ms | 11.87 MB/s
198.41.208.183:2087#US-W_73ms | 11.83 MB/s
104.17.101.120:2087#US-W_63ms | 11.8 MB/s
198.41.208.43:2087#US-W_68ms | 11.66 MB/s
104.17.164.251:2087#US-W_73ms | 11.31 MB/s
198.41.208.73:2087#US-W_72ms | 11.1 MB/s
104.19.37.230:2087#US-W_70ms | 10.96 MB/s
104.19.57.243:2087#US-W_73ms | 10.72 MB/s
198.41.209.197:2087#US-W_68ms | 10.6 MB/s
104.25.243.139:2087#US-W_69ms | 10.6 MB/s
198.41.209.18:2087#US-W_71ms | 10.52 MB/s
172.64.145.252:2087#US-W_73ms | 10.52 MB/s
104.16.144.120:2087#US-W_68ms | 10.44 MB/s
104.19.157.29:2087#US-W_66ms | 10.41 MB/s
198.41.208.80:2087#US-W_70ms | 10.29 MB/s
104.25.248.64:2087#US-W_72ms | 10.17 MB/s
172.64.144.54:2087#US-W_69ms | 9.95 MB/s
172.64.147.211:2087#US-W_74ms | 9.87 MB/s
104.18.45.126:2087#US-W_65ms | 9.7 MB/s
104.17.58.161:2087#US-W_65ms | 9.64 MB/s
104.19.37.148:8443#JP_128ms | 10.71 MB/s
104.17.218.63:8443#JP_215ms | 9.24 MB/s
104.17.28.127:8443#JP_81ms | 8.23 MB/s
104.17.188.13:8443#JP_92ms | 8.2 MB/s
104.17.161.234:8443#JP_117ms | 8.11 MB/s
104.19.159.244:2096#JP_191ms | 11.58 MB/s
104.18.38.33:2096#JP_82ms | 10.21 MB/s
104.16.152.248:2096#JP_203ms | 10.07 MB/s
104.17.176.249:2096#JP_138ms | 10.01 MB/s
104.25.249.135:2096#JP_72ms | 9.47 MB/s
104.17.181.89:2096#JP_168ms | 7.64 MB/s
104.17.164.181:2096#JP_200ms | 7.62 MB/s
104.17.214.242:2096#JP_159ms | 7.15 MB/s
104.17.98.98:2087#JP_188ms | 11.96 MB/s
104.25.252.207:2087#JP_80ms | 11.73 MB/s
104.25.240.115:2087#JP_74ms | 11.71 MB/s
104.17.116.48:2087#JP_198ms | 10.15 MB/s
104.25.241.115:2087#JP_71ms | 9.8 MB/s
104.17.164.241:2087#JP_208ms | 8.74 MB/s
104.16.246.49:2087#JP_205ms | 8.65 MB/s
104.25.250.81:2083#JP_75ms | 11.34 MB/s
104.19.59.161:2083#JP_171ms | 9.92 MB/s
104.25.249.100:2083#JP_154ms | 9.76 MB/s
104.25.249.23:2053#JP_103ms | 11.25 MB/s
104.18.34.38:2053#JP_68ms | 11.1 MB/s
104.25.244.43:2053#JP_74ms | 10.02 MB/s
104.17.151.112:2053#JP_205ms | 7.21 MB/s
